data,sku,categoria,demanda,estoque,preco,pred
2023-10-03,S001-P0001,Electronics,72,100,69.78,94.87991016697462
2023-10-04,S001-P0001,Electronics,90,335,70.52,95.71147993893454
2023-10-05,S001-P0001,Electronics,78,236,64.25,85.34242165423898
2023-10-06,S001-P0001,Electronics,80,186,61.29,94.37607225413063
2023-10-07,S001-P0001,Electronics,58,289,56.62,50.49491989541236
2023-10-08,S001-P0001,Electronics,23,239,51.89,54.27325814639144
2023-10-09,S001-P0001,Electronics,44,220,50.11,71.82073553595126
2023-10-10,S001-P0001,Electronics,43,178,56.24,49.7523531171681
2023-10-11,S001-P0001,Electronics,82,126,68.63,60.40419206700286
2023-10-12,S001-P0001,Electronics,49,132,45.63,66.31568640128319
2023-10-13,S001-P0001,Electronics,38,279,55.13,49.260350301876315
2023-10-14,S001-P0001,Electronics,34,245,54.3,50.46468525986878
2023-10-15,S001-P0001,Electronics,28,220,52.8,50.166235611470626
2023-10-16,S001-P0001,Electronics,46,196,63.18,50.93043325058793
2023-10-17,S001-P0001,Electronics,66,168,61.48,75.7164200645457
2023-10-18,S001-P0001,Electronics,20,126,48.5,50.147749753707615
2023-10-19,S001-P0001,Electronics,53,229,46.32,77.76413667829263
2023-10-20,S001-P0001,Electronics,77,167,60.71,76.90967011555358
2023-10-21,S001-P0001,Electronics,36,78,51.79,59.97992337867039
2023-10-22,S001-P0001,Electronics,47,214,57.28,54.57213147537076
2023-10-23,S001-P0001,Electronics,101,171,61.6,70.21005750365426
2023-10-24,S001-P0001,Electronics,53,62,61.7,49.850266637475926
2023-10-25,S001-P0001,Electronics,152,182,76.92,117.35579249245485
2023-10-26,S001-P0001,Electronics,106,68,55.83,122.46163671608856
2023-10-27,S001-P0001,Electronics,143,288,78.95,106.86237418308498
2023-10-28,S001-P0001,Electronics,114,143,80.26,107.33666216665912
2023-10-29,S001-P0001,Electronics,162,285,87.76,107.47964909801081
2023-10-30,S001-P0001,Electronics,109,181,75.22,87.85206732841283
2023-10-31,S001-P0001,Electronics,66,393,68.12,86.17892307921453
2023-11-01,S001-P0001,Electronics,99,346,54.56,110.68241006354364
2023-11-02,S001-P0001,Electronics,128,245,83.79,106.95706552483797
2023-11-03,S001-P0001,Electronics,137,102,65.53,111.39168641206608
2023-11-04,S001-P0001,Electronics,120,269,73.56,88.22883632160148
2023-11-05,S001-P0001,Electronics,105,444,70.31,88.28183511068057
2023-11-06,S001-P0001,Electronics,97,354,76.05,88.89274203539767
2023-11-07,S001-P0001,Electronics,99,255,65.04,110.72866029672663
2023-11-08,S001-P0001,Electronics,144,187,71.06,136.8943788394589
2023-11-09,S001-P0001,Electronics,117,259,81.04,85.5563257920285
2023-11-10,S001-P0001,Electronics,77,450,70.95,86.15612269073183
2023-11-11,S001-P0001,Electronics,91,394,74.61,86.46863059926828
